OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
ASV272	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	71	0	0	133	0	0	117
ASV273	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	5	0	22	33	0	59	59	0	0	213	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	13	0	0
ASV274	0	0	0	0	37	0	0	0	0	25	0	112	0	0	187	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
ASV275	0	0	14	0	0	0	0	0	0	0	0	0	14	51	0	124	0	0	0	0	0	0	147	0	44	0	0	0	0	0	0	0	0	0	0	0	0	7	0	26	0	0	0	5	0	0	0
ASV276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV277	0	117	0	0	97	0	0	21	0	0	0	41	0	19	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	54	0	0	0	37	34	0	0	0	0	0	0	0	0	0	0	0
ASV278	0	0	0	0	62	0	0	0	0	0	0	105	0	0	65	0	0	0	0	44	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV279	0	0	0	109	47	11	0	6	15	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	114	0	0
ASV280	67	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	51	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV282	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV283	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0
ASV284	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	25	0	0	0	0	47	0	0	81	0	0	111	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	55	0	0	0
ASV285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV287	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	75	0	0	34	0	0	53
ASV288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	25	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV289	0	0	66	0	0	0	0	0	0	0	0	0	22	111	14	0	0	0	25	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	44	0	0
ASV290	0	0	0	0	41	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	272	22	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV292	0	0	0	0	192	0	0	38	98	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV293	0	0	0	0	0	0	0	0	0	0	0	0	52	0	92	104	0	0	0	61	0	0	24	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
ASV294	6	0	0	93	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
ASV295	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV296	11	0	0	0	0	0	0	18	115	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	75	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV297	0	0	35	0	61	0	0	0	0	0	0	0	0	110	0	0	0	89	0	0	0	0	28	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV298	5	0	0	24	15	0	0	0	18	0	9	47	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	99	0	0	0	0	0	0	0	0	68	0	0	16	0	0	9	0
ASV299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
