OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
e4be7e020ccb7b8db61cc88049ca17f1	27.0	642.0	176.0	1731.0	2788.0	11952.0	102.0	39.0	57.0	127.0	23.0	1771.0	159.0	0.0	0.0	570.0	0.0	0.0	0.0	0.0	40.0	201.0	223.0	0.0	135.0	57.0	0.0	0.0	0.0	23.0	729.0	51.0	45.0	0.0	0.0	21.0	0.0	219.0	0.0	627.0	47.0	0.0	422.0	321.0	523.0	13.0	79.0
35e237577581b48b501d24ca30303371	0.0	18.0	0.0	0.0	180.0	0.0	438.0	0.0	0.0	0.0	0.0	1944.0	38.0	0.0	0.0	0.0	0.0	0.0	133.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	91.0	824.0	403.0	1589.0	0.0	0.0	6382.0	0.0	240.0	10204.0
5a2262de98da8a94ec3925383faceec8	32.0	578.0	127.0	3812.0	2695.0	977.0	61.0	10526.0	669.0	633.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	35.0	160.0	85.0	151.0	0.0	11.0	0.0	635.0	0.0	242.0	294.0	78.0	0.0	0.0	53.0	132.0	0.0	13.0	109.0	96.0
d26e9c5d97c3a59578f6ee32bbe95ee5	31.0	660.0	27.0	368.0	2637.0	192.0	321.0	704.0	12401.0	106.0	936.0	137.0	0.0	0.0	40.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	38.0	75.0	0.0	46.0	0.0	0.0	46.0	0.0	1295.0	62.0	1163.0	0.0	14.0	78.0	0.0	0.0	13.0	0.0
3c7b8706476fa6ec48079e64c2081445	0.0	0.0	0.0	0.0	16591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36318f77b5d1fb5ff90f109e0c594b7b	0.0	462.0	0.0	260.0	3393.0	86.0	173.0	177.0	59.0	17.0	0.0	18.0	0.0	45.0	0.0	12.0	16.0	0.0	0.0	0.0	0.0	131.0	2852.0	0.0	0.0	6.0	0.0	131.0	1310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2701.0	196.0	1543.0	16.0	749.0	2847.0	0.0	1020.0	0.0	436.0	932.0
8e5022d1281d9ec0647ed1f17400fb67	0.0	0.0	1126.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	1206.0	0.0	0.0	0.0	63.0	60.0	108.0	0.0	28.0	49.0	0.0	282.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	480.0	127.0	2473.0	0.0	7.0	7714.0	115.0	3749.0	0.0	0.0
993432bcb9b7a1c742e35b691d7a3b04	0.0	99.0	0.0	408.0	1124.0	206.0	0.0	4160.0	4006.0	0.0	112.0	0.0	21.0	97.0	56.0	973.0	87.0	0.0	151.0	0.0	0.0	88.0	884.0	35.0	40.0	0.0	0.0	46.0	2065.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	615.0	110.0	101.0	0.0	218.0	256.0	0.0	306.0	0.0	218.0	56.0
887c0233fa30e736b0c05039f9538bf6	0.0	2295.0	31.0	1256.0	237.0	0.0	42.0	11.0	0.0	156.0	0.0	0.0	47.0	153.0	0.0	31.0	28.0	0.0	0.0	35.0	16.0	572.0	360.0	107.0	0.0	0.0	0.0	609.0	376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	849.0	2286.0	3008.0	0.0	376.0	410.0	17.0	1118.0	0.0	117.0	1720.0
3ac7975b5785ca6f6d9087c966eb0c75	39.0	821.0	0.0	93.0	108.0	49.0	114.0	65.0	187.0	4077.0	0.0	43.0	4.0	32.0	25.0	30.0	8.0	105.0	371.0	753.0	240.0	44.0	43.0	373.0	8.0	69.0	0.0	192.0	204.0	1274.0	123.0	366.0	65.0	0.0	0.0	3115.0	109.0	183.0	614.0	83.0	17.0	0.0	0.0	43.0	216.0	0.0	70.0
5abf5669340420916ec40cbdd0e55d24	203.0	0.0	479.0	1537.0	553.0	508.0	330.0	59.0	1399.0	59.0	12.0	77.0	36.0	20.0	3364.0	98.0	134.0	58.0	415.0	258.0	22.0	579.0	498.0	149.0	105.0	17.0	0.0	20.0	19.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	103.0	202.0	0.0	287.0	194.0	0.0	1352.0	383.0	689.0	36.0	0.0
f7d019a7ba5050ed7280491cbfe37807	14.0	222.0	195.0	711.0	1179.0	87.0	87.0	8210.0	453.0	137.0	37.0	0.0	0.0	224.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	75.0	35.0	0.0	11.0	0.0	0.0	0.0	50.0	18.0	20.0	0.0	0.0	0.0	0.0	0.0	182.0	173.0	188.0	32.0	30.0	48.0	10.0	26.0	0.0	31.0	34.0
6a248047bfe63c09c3fcb8c2560862c4	184.0	40.0	0.0	2822.0	567.0	3082.0	0.0	2279.0	434.0	238.0	341.0	412.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	18.0	0.0	0.0	72.0	0.0	76.0	0.0	0.0	0.0	0.0	1493.0	0.0	200.0	0.0	0.0
3af5ba723131bdae7a9efe4c09c36190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12379.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5f6701937679120c7904d66ed0acd41c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	19.0	60.0	0.0	56.0	0.0	0.0	121.0	10400.0	0.0	0.0	32.0	0.0	207.0	833.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0
8dc0ea9f9c4c515273dc2d5173387579	0.0	946.0	742.0	3699.0	3386.0	55.0	0.0	60.0	21.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	127.0	0.0	5.0	0.0	0.0	0.0	411.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	638.0	76.0	40.0	40.0	290.0	179.0	106.0	39.0	245.0	270.0
95777627e0e8e3d6564287abfc76f94a	0.0	109.0	0.0	510.0	90.0	53.0	37.0	1077.0	191.0	4.0	171.0	70.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	602.0	0.0	0.0	0.0	25.0	0.0	4438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	651.0	914.0	245.0	0.0	1683.0	0.0	0.0	0.0	147.0	0.0
28815eb8afe4996f98f377b677cd56e1	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	231.0	486.0	899.0	13.0	218.0	5.0	13.0	1366.0	51.0	0.0	894.0	844.0	8.0	234.0	84.0	0.0	1351.0	623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	161.0	1378.0	89.0	0.0	385.0	0.0	855.0	515.0
df2781760d8bf1fbd8d8653ffe681a2e	0.0	0.0	0.0	32.0	107.0	0.0	53.0	7038.0	0.0	0.0	0.0	0.0	0.0	39.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	308.0	0.0	0.0	0.0	0.0	138.0	278.0	0.0	22.0	0.0	0.0	0.0	68.0	0.0	91.0	0.0	820.0	14.0	192.0	138.0	0.0	1040.0	0.0	0.0	202.0
