to,from,weight
ASV952,7491e559c46784c3c627e6d37ef33128,1
ASV1677,ASV352,0.207092829
ASV1801,ASV87,0.0717846
ASV87,ASV1173,0.755928946
ASV393,ASV1144,1
ASV448,ASV1142,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV742,1
f829f7dd05af5b9ae70b3cb07c41bb7a,ASV952,1
ASV815,ASV1144,1
ASV782,ASV1173,0.127870759
ASV1969,ASV865,1
ASV344,710ecb4505ef3318c6df049aa439f507,0.068277052
ASV423,ASV347,0.423296252
ASV713,ASV1017,5.19E-05
ASV1092,ASV815,1
ASV1969,5ab75def4e6aa82a790cbc92161365b1,0.039466084
509ace08b5aa48a88deb5bdad25845d3,7491e559c46784c3c627e6d37ef33128,1
ASV100,ASV76,0.114975568
411dc3c2024aedcc3a2e98373cbfd904,ASV1145,1
ASV133,ASV815,9.84E-06
ASV1969,ASV58,0.662044588
eceddaca443bec367cef72b93e49d8f3,07d8d1545671fcbe90bfbecd0552c767,1
54dd4aa26421356fd278e399d2603a0b,ASV1145,1
ASV178,ASV431,0.135782149
ASV526,ASV876,1
ASV117,ASV352,1
ASV526,710ecb4505ef3318c6df049aa439f507,1
ASV1769,835f49fc13f0f9a859af009937925151,0.049722091
ASV796,ASV897,1
ASV1973,835f49fc13f0f9a859af009937925151,1
ASV111,ASV1542,1
ASV796,ASV532,1.89E-04
ASV98,ASV1173,0.467596374
ccbef4f7fdf76aab7fed38193f0dbbb4,54dd4aa26421356fd278e399d2603a0b,0.016179932
ASV1969,ASV1801,1
ccbef4f7fdf76aab7fed38193f0dbbb4,f829f7dd05af5b9ae70b3cb07c41bb7a,1
1d3c6367e5f30af163aedf4e59eadeed,ASV1878,0.148152763
ASV1039,ASV117,1
5ab75def4e6aa82a790cbc92161365b1,ASV8,0.00400046
411dc3c2024aedcc3a2e98373cbfd904,d9f8ab9eab576c318fe0b1eb43da07ed,1
ASV448,ASV1125,1
ASV33,ASV23,0.842795381
6598ffab6ef90f90ee7a86a9a16f5b82,ASV30,0.005489184
ASV347,f5e86a9841f8fb6613b42e1df9d229fa,1
5ab75def4e6aa82a790cbc92161365b1,ASV1284,1
f829f7dd05af5b9ae70b3cb07c41bb7a,7491e559c46784c3c627e6d37ef33128,8.66E-05
ASV637,ASV178,0.998824516
ASV747,ASV629,1
ASV98,ASV111,0.047096244
ASV1127,835f49fc13f0f9a859af009937925151,0.00406353
ASV1549,ASV100,0.755928946
c57c80b904fe1d31d276fe185494d61e,ASV1231,1.11E-16
ASV444,ASV897,1
ASV1842,ASV1173,0.513198242
6598ffab6ef90f90ee7a86a9a16f5b82,ASV633,1
ASV444,ASV532,1
ASV117,ASV1004,1
ASV943,ASV952,1
ASV117,ASV1364,1
710ecb4505ef3318c6df049aa439f507,9c0e35aab9c3645fa3182513b254cc5d,1.11E-16
ASV1231,ASV344,0.755928946
ASV1842,ASV1969,1
411dc3c2024aedcc3a2e98373cbfd904,ASV952,1.71E-04
ASV1039,ASV100,0.493535644
ASV1801,ASV58,0.662044588
54dd4aa26421356fd278e399d2603a0b,d9f8ab9eab576c318fe0b1eb43da07ed,1
ASV87,ASV1141,1
ASV782,ASV1141,1.11E-16
ASV111,ASV8,1
ASV1039,ASV1004,7.57E-04
ASV1039,ASV1364,0.004594671
ASV1285,ASV782,1
ASV1645,ASV897,1
ASV8,ASV1284,1
ASV1645,ASV1092,1
ASV785,ASV1092,1.05E-05
ASV1645,ASV532,1
ASV414,ASV133,0.064569068
ASV1016,d9f8ab9eab576c318fe0b1eb43da07ed,0.01059973
6750c6f1b2e9b5eb18c01044ef04b255,ASV1004,1
6750c6f1b2e9b5eb18c01044ef04b255,ASV1364,0.004466248
ASV414,ASV1144,0.999916414
ASV1127,ASV1515,0.001553618
ASV742,ASV76,1
1d3c6367e5f30af163aedf4e59eadeed,ASV742,2.10E-04
ASV249,ASV352,1
