asv	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul7_E_166	jul7_H2O_168	jul7_W_167
ASV742	0	0	0	10	0	0	0	0
ASV744	0	0	0	0	0	0	0	17
ASV747	0	0	0	0	0	70	0	0
ASV763	0	0	0	0	0	0	0	0
ASV768	0	0	0	0	0	0	16	0
ASV773	0	0	0	0	0	0	0	0
ASV774	0	0	0	0	0	0	0	0
ASV782	9	0	0	0	0	0	0	0
ASV785	0	0	0	0	0	31	0	0
ASV787	0	0	0	0	0	0	0	0
ASV791	0	0	0	0	0	0	0	0
ASV794	0	1	0	0	0	0	4	0
ASV796	0	0	0	0	0	62	0	0
ASV804	11	0	0	0	0	0	0	0
ASV815	0	0	0	0	0	60	0	0
ASV818	0	0	0	0	0	0	0	0
ASV825	0	0	0	0	0	0	0	0
ASV831	0	0	0	0	0	0	0	0
ASV836	3	0	3	0	5	0	0	0
ASV839	0	0	0	0	0	0	0	0
ASV859	0	0	0	0	0	0	0	0
ASV860	0	0	0	0	0	0	0	0
ASV863	0	0	0	0	0	0	0	0
ASV865	19	0	0	0	0	0	0	0
ASV867	0	0	0	0	0	0	0	0
ASV876	0	0	0	0	3	0	0	0
ASV888	0	0	0	0	0	0	0	0
ASV895	0	0	6	0	0	0	0	0
ASV897	0	0	0	0	0	51	0	0
ASV901	0	0	0	0	0	0	0	0
ASV916	0	0	0	0	0	0	0	0
ASV926	0	0	0	0	0	0	0	0
ASV932	0	0	0	0	0	0	9	0
ASV943	0	0	0	0	0	0	8	0
ASV947	0	0	0	0	0	0	0	0
ASV949	0	0	0	0	0	0	0	0
ASV952	0	0	0	0	0	0	6	0
ASV957	0	0	0	0	0	0	0	0
ASV995	0	0	0	0	0	0	0	0
ASV996	0	0	0	0	0	0	0	0
ASV1004	0	0	0	4	0	0	0	0
ASV1010	0	0	0	0	0	0	0	0
ASV1016	0	0	0	0	0	0	12	0
ASV1017	0	0	0	0	0	0	0	10
ASV1019	0	0	0	0	0	0	0	0
ASV1025	0	0	0	0	0	0	0	0
ASV1028	0	0	0	0	0	0	0	0
ASV1037	0	0	0	0	0	0	0	0
ASV1039	0	0	0	5	0	0	0	0
ASV1047	0	0	0	0	0	0	0	0
ASV1056	0	0	0	0	0	0	0	0
ASV1057	0	0	0	0	0	0	0	0
ASV1061	0	0	0	0	0	0	0	0
ASV1079	0	0	0	0	0	0	0	0
ASV1081	0	0	0	0	0	0	0	0
ASV1082	0	0	0	0	0	0	0	0
ASV1084	0	0	0	0	0	0	0	0
ASV1092	0	0	0	0	0	34	0	0
ASV1094	0	0	0	0	0	0	0	0
ASV1096	0	0	0	0	0	0	0	0
ASV1098	0	0	0	0	0	0	0	0
ASV1108	0	0	0	0	0	0	0	0
ASV1125	0	1	0	0	0	0	0	0
ASV1127	0	0	0	0	0	0	0	8
ASV1130	0	0	0	0	0	0	0	0
ASV1141	7	0	0	0	0	0	0	0
ASV1142	0	4	0	0	0	0	0	0
ASV1144	0	0	0	0	0	32	0	0
ASV1145	0	0	0	0	0	0	8	0
ASV1150	0	0	0	0	0	0	0	0
ASV1158	0	0	0	0	0	0	0	8
ASV1173	5	0	0	1	0	0	0	0
ASV1187	0	0	0	0	0	0	0	0
ASV1200	0	0	0	0	0	0	0	0
ASV1201	0	0	0	0	0	0	0	0
ASV1207	3	0	0	0	0	0	0	0
ASV1209	0	0	0	3	0	0	0	0
ASV1214	0	0	0	0	0	0	0	0
ASV1215	0	0	0	0	0	0	0	0
ASV1217	0	0	0	0	0	0	0	0
ASV1231	0	0	0	0	5	0	0	0
ASV1232	0	0	0	0	0	0	0	0
ASV1243	0	0	0	0	0	0	0	0
ASV1249	0	0	0	0	0	0	0	0
ASV1253	0	0	0	0	0	0	0	0
ASV1277	0	0	0	0	0	0	0	0
ASV1278	0	0	0	0	0	0	0	0
ASV1284	2	0	0	0	0	0	0	0
ASV1285	5	0	0	0	0	0	0	0
ASV1299	0	0	0	0	0	0	0	0
ASV1319	0	0	0	0	0	0	0	0
ASV1332	0	0	0	0	0	0	0	0
ASV1334	0	0	0	0	0	0	0	0
ASV1348	0	0	0	0	0	0	0	0
ASV1355	0	0	0	0	0	0	0	0
ASV1364	0	0	0	3	0	0	0	0
ASV1372	0	0	0	0	0	0	0	0
ASV1400	0	0	0	0	0	0	0	0
ASV1401	0	0	0	0	0	0	0	0
ASV1428	0	0	0	0	0	0	0	0
ASV1431	0	0	0	0	0	0	0	0
ASV1459	0	0	0	0	0	0	0	0
ASV1460	0	0	0	0	0	0	0	0
ASV1462	0	0	0	0	0	0	0	0
ASV1465	0	0	0	0	0	0	0	0
ASV1494	0	0	0	0	0	0	0	0
ASV1515	0	0	0	0	0	0	0	5
ASV1518	0	0	0	0	0	0	0	0
ASV1519	0	0	0	0	0	0	0	0
ASV1520	0	0	0	0	0	0	0	0
ASV1542	3	0	0	0	0	0	0	0
ASV1543	0	2	0	0	0	0	0	0
ASV1549	0	0	0	3	0	0	0	0
ASV1558	0	0	0	0	0	0	0	0
ASV1563	0	0	0	0	0	0	0	0
ASV1570	0	0	0	0	0	0	0	0
ASV1573	3	0	0	2	0	0	0	0
ASV1579	0	0	0	0	0	0	0	0
ASV1614	0	0	0	0	0	0	0	0
ASV1628	0	0	0	0	0	0	0	0
ASV1645	0	0	0	0	0	13	0	0
ASV1672	0	0	1	0	0	0	0	0
ASV1677	0	0	0	1	0	0	0	0
ASV1685	0	0	0	0	0	0	0	0
ASV1698	0	0	0	0	0	0	0	0
ASV1704	0	0	0	0	0	0	0	0
ASV1732	0	0	0	0	0	0	0	0
ASV1763	5	0	0	0	0	0	0	0
ASV1765	0	0	0	1	0	0	0	0
ASV1769	0	0	0	0	0	0	0	2
ASV1788	0	0	0	0	0	0	0	0
ASV1801	2	0	0	0	0	0	0	0
ASV1806	0	0	0	0	0	0	0	0
ASV1809	0	0	0	0	0	0	0	0
ASV1813	0	0	0	0	0	0	0	0
ASV1842	3	0	0	0	0	0	0	0
ASV1850	0	0	0	0	0	0	0	2
ASV1868	0	0	0	0	0	0	0	0
ASV1878	0	0	0	1	0	0	0	0
ASV1882	0	0	0	0	0	0	0	0
ASV1896	0	0	0	0	0	0	0	0
ASV1897	0	0	0	0	0	0	0	0
ASV1919	0	0	0	0	0	0	0	0
ASV1922	0	0	0	0	0	0	0	0
ASV1969	2	0	0	0	0	0	0	0
ASV1973	0	0	0	0	0	0	0	2
