OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
10de7c04ff0b9dc89e4a6a1876a7b989	604.0	338.0	34.0	22.0	0.0	22.0	25.0	0.0	51.0	2249.0	41.0	0.0	0.0	4.0	30.0	0.0	0.0	0.0	41.0	0.0	4.0	7.0	43.0	1245.0	0.0	18.0	595.0	0.0	123.0	106.0	197.0	0.0	35.0	0.0	1322.0	0.0	1674.0	826.0	253.0	72.0	0.0	647.0	1738.0	5.0	317.0	85.0	39.0
e67ee7d71ed6902c8e2daa239dda50fb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	1966.0	26.0	0.0	124.0	561.0	0.0	1625.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	1149.0	1923.0	717.0	24.0	1346.0	0.0	5.0	2003.0	427.0	203.0
e09f8321e5dc37c335bb99131239179f	0.0	100.0	0.0	35.0	0.0	0.0	14.0	0.0	6.0	0.0	24.0	0.0	0.0	73.0	244.0	0.0	0.0	0.0	9.0	66.0	5.0	0.0	79.0	0.0	0.0	495.0	0.0	0.0	2586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2109.0	242.0	896.0	1417.0	0.0	1703.0	30.0	132.0	938.0	712.0	88.0
4f31ee527d5f878c60a4efcd63c57fae	449.0	42.0	475.0	0.0	0.0	44.0	249.0	0.0	185.0	3328.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	217.0	0.0	0.0	43.0	0.0	94.0	1131.0	614.0	0.0	36.0	0.0	2705.0	0.0	867.0	0.0	74.0	267.0	0.0	47.0	208.0	0.0	110.0	0.0	0.0
adf8882d5fd60155f03f9a52e900d32d	0.0	418.0	0.0	259.0	0.0	10.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	24.0	151.0	17.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	13.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	9873.0	11.0	0.0	53.0	28.0	0.0	169.0
4e0627e6946eadd76f3789b7fe603be8	0.0	0.0	9.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	447.0	4270.0	0.0	0.0	5407.0	0.0	0.0	0.0	0.0	0.0	828.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	14.0	0.0	0.0	0.0
1b9bf42967c78a2efb74128aef9fec53	402.0	1577.0	65.0	780.0	627.0	402.0	326.0	32.0	50.0	508.0	39.0	18.0	165.0	22.0	124.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	142.0	0.0	93.0	0.0	0.0	49.0	151.0	1088.0	567.0	81.0	39.0	236.0	0.0	1297.0	468.0	120.0	114.0	284.0	0.0	91.0	140.0	53.0	115.0	717.0
cfcd66c1310f85d586280b6dbd829635	0.0	391.0	7.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	69.0	45.0	64.0	0.0	0.0	995.0	148.0	2788.0	477.0	97.0	43.0	0.0	47.0	1547.0	44.0	0.0	192.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	557.0	73.0	366.0	23.0	43.0	77.0	0.0	658.0	760.0	735.0	53.0
92a17279a5608f06ab5ae66b1979efdf	0.0	106.0	0.0	0.0	0.0	14.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	496.0	0.0	0.0	34.0	2441.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	447.0	2579.0	2305.0	0.0	197.0	95.0	0.0	779.0	36.0	54.0
1e6dad4b27d3b96c39c8545d490d9425	0.0	0.0	99.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	278.0	279.0	253.0	138.0	0.0	103.0	36.0	74.0	5241.0	0.0	38.0	2.0	169.0	2153.0	16.0	0.0	70.0	0.0	0.0	56.0	25.0	0.0	0.0	22.0	116.0	11.0	6.0	0.0	77.0	57.0	13.0	389.0	164.0	0.0	62.0
