to,from,weight
ASV414,ASV1057,1.06E-04
ASV444,fa19522f4a04124c8aeb8b8247645879,3.038863524
ASV227,2d3181c6a21fd8774c7e24773f5d5e05,0.993824739
ASV1732,ASV1319,1
ASV1082,ASV773,1
ASV420,ASV293,0.6401374
ASV1462,ASV1299,1
ASV831,ASV133,0.566455654
ASV794,ASV1332,1
ASV1130,ASV1056,1.11E-16
ASV119,ASV1809,3.875845607
ASV393,ASV1809,0.979913232
349a635ea622db56824934499ab10052,ASV1299,1
ASV1028,ASV420,0.543989556
ASV506,ASV995,0.72547625
ASV1207,ASV926,0.008754097
ASV81,ASV142,0.582719971
ASV414,ASV393,0.217595664
ASV328,ASV227,0.991453867
ASV774,ASV106,0.689710215
ASV867,ASV1922,0
f5e86a9841f8fb6613b42e1df9d229fa,ASV273,3.77219681
0ed2e810f88dd9a532e34fef3097f56a,ASV529,1
ASV785,ASV831,1
ASV774,ASV100,0.592886685
ASV133,ASV243,2.518714234
ASV1207,ASV481,1
ASV30,ASV1057,0.004339002
ASV1460,ASV9,4.896360997
ASV577,ASV394,0.814401628
ASV1922,ASV916,0.002054308
ASV77,ASV142,0.596206366
ASV344,ASV1919,0.446946234
ASV787,ASV294,1
ASV328,ASV577,0.389583525
ASV529,ASV45,4.092454766
ASV159,ASV995,3.212851787
ASV31,ASV1685,0.681897023
878a35347f3e227d5ca7683772399708,ASV231,0.002370894
ASV787,ASV44,1
ASV1319,ASV1809,0.003255732
ASV1319,ASV393,0.607988327
ASV785,349a635ea622db56824934499ab10052,0.014269467
ASV787,ASV1096,1
ASV27,ASV142,2.927213422
ASV100,349a635ea622db56824934499ab10052,0.592886685
ASV1081,ASV23,4.88024313
ASV414,ASV1037,0.1679211
0ed2e810f88dd9a532e34fef3097f56a,ASV45,0.592261424
ASV576,ASV1057,1
ASV117,ASV570,1
ASV119,ASV117,3.875845607
ASV1558,ASV1096,1
ASV926,ASV560,1
ASV8,ASV33,0.305467032
ASV106,349a635ea622db56824934499ab10052,0.499042512
ASV1462,ASV1278,1
ASV1732,ASV393,0.607988327
ASV926,ASV33,0.58929936
970a0f4184a8820116f827e881f75110,97ec2ec6d10f95240d3310c44fd3db1e,0.69312534
ASV995,ASV288,0.003969533
4e4ae9e7f5bb4a69d13620a178d74c04,ASV444,0.925219009
ASV576,ASV288,1
ASV1558,349a635ea622db56824934499ab10052,1
ASV30,ASV393,0.979913232
ASV1249,ASV526,0.326417088
ASV27,ASV1919,0.659120387
ASV98,ASV74,0.605304058
399fdcf9abac0d03b00f63e93edfd481,ASV178,0.299893506
ASV787,ASV1082,1
ASV831,ASV106,0.72547625
ASV1401,ASV58,4.657288543
ASV1460,ASV66,5.0912117
ASV30,ASV1037,0.1679211
ASV526,ASV288,0.33704149
ASV1558,ASV1082,1
ASV1558,ASV1081,1
ASV831,ASV100,0.592886685
951da216cb3423c01f473555ea9e8128,ASV1332,1
ASV1217,ASV9,4.896360997
ASV1037,ASV1919,0.1679211
ASV1518,ASV995,1
ASV431,ASV195,0.528121713
ASV106,ASV98,2.172837929
ASV916,ASV273,0.513425369
ASV31,ASV916,0.150928488
ASV1130,ASV293,1
ASV1460,ASV773,1
ASV94,ASV1150,0.452012532
ASV787,ASV23,4.88024313
ASV570,ASV1057,1
ASV947,ASV44,1
ASV1217,ASV294,1
ASV526,ASV1319,0.052287053
ASV159,ASV178,0.543989556
ASV1919,ASV66,4.726886664
ASV576,ASV1037,1.455308983
ASV344,ASV570,0.446946234
ASV100,ASV1299,0.592886685
ASV773,349a635ea622db56824934499ab10052,1
ASV74,ASV1232,0.669432707
ASV1919,ASV1057,1
ASV444,ASV1462,0.649110329
ASV444,ASV1460,4.660017473
ASV1401,ASV231,1
ASV414,ASV1809,1
ASV1896,ASV23,0.509111157
ASV1082,ASV294,1
ASV1207,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV17,ASV1215,5.150405198
ASV1217,349a635ea622db56824934499ab10052,1
ASV27,ASV1460,4.976406155
ASV444,784833580054b0b8670ff0d1642746ee,0.72547625
ASV1249,ASV506,0.72547625
ASV506,ASV159,1.828123756
1ded7b3ea35d5ee270110b832d3dc84c,ASV957,0.006849875
54dd4aa26421356fd278e399d2603a0b,ASV1332,0.85036211
ASV774,ASV787,0.004730902
ASV448,1ded7b3ea35d5ee270110b832d3dc84c,1
ASV774,ASV785,1
ASV774,ASV1299,0.018871941
ASV323,ASV1253,0.837844687
ASV94,ASV298,4.840216811
ASV1460,ASV44,1
ASV1896,ASV106,0.686781384
ASV1519,ASV273,0.513425369
ASV888,ASV529,1
0ed2e810f88dd9a532e34fef3097f56a,d8afc147579e4912e2ee4c975e9374d2,0.012381111
ASV1462,ASV947,1
ASV414,ASV344,0.811652405
ASV106,ASV74,4.336358226
ASV30,ASV1809,1
